study,journal,title,year_published,doi,prompts,country,country_region,country_region_note,animal_pop,data_extraction,data_start,data_end,continuous,continuous_note,exceptions_any,exceptions_any_note,descrip_age,descrip_sex,descrip_breed,descrip_premisetype,descrip_other,disease_outcome,disease_outcome_note,nodes,nodes_number,edges,edges_number,edges_weighted,edges_weighted_note,exclusions,n_networks,directed_network,temporality,temporality_note,software,methology_used,network_measures,community_detection,community_detection_qualityfunction,relevance_results,barriers,recommendations,note
Grear 2014,Preventive Veterinary Medicine,"Local cattle movements in response to ongoing bovine tuberculosis zonation and regulations in Michigan, USA",2014,10.1016/j.prevetmed.2014.03.008,bTB control regulations that aim to identify and remove infected cattle before they are moved among premises are a key component of bTB mitigation programs in Michigan and elsewhere. Our goal was to characterize the effect of the bTB accreditation regulations and zonation by describing the changes in cattle movement in relation to the risk of liveanimal movement-mediated bTB spread.,USA,Y,"network of cattle movements within Michigan's Modified Accredites Zone (MAS) for bovine tuberculosis (bTB); northern 11 counties of Michigan's Lower Peninsula, because the bTB zones and regulations were consistent during 2004-2009 with reduction of accreditation zones in 2010",cattle,MDARD database,2004,2010,Y,-,N,-,N,N,N,N,purpose of movement; distance,Y,bTB,animal holding,median 667 per year IQR 52,number of movements,median 806 IQR 109 network edges directional; median shipment size 3.3 IQR 0.63,Y,number of movements,"movements to slaughterplants; for the analysis of bTB cases, cases in 2010 were excluded because the change in accreditation zones made 2009 and 2010 transports incompatible.",7,Y,Y,annual networks for description,R,"created networks of all non-slaughter movement within the MAZ for each calendar year and a cumulative network of all movements, which were characterized using network measures; We generated central graphs to examine the stability of premises with the series of yearly networks. A central graph is the unique set of edges that exist across multiple networks (years). We calculated the frequency distribution of the number of cumulative years premises were active and central graphs of the set of edges, which existed in 2–7 cumulative years; Then, We examined the network properties of the premises that were confirmed bTB positive from 2005 to 2009 by creating networks of all cattle movement during the year of the bTB case and the previous year (2-year networks to capture properties of cattle transport that may be associated with disease transmission given bTB long-incubation period; We characterized the network position of the 14 premises that had confirmed bTB cases in the MAZ from 2005 to 2009.",network size; number of edges; in-degree; out-degree; in-strength; out-strength; Spearman's non-parametric rank correlation between degree and shipments AND between in- and out-degree / in- and out-strength; GSCC; GWCC; network reciprocity; county assortativity,N,-,"The consequences for cattle shipments within the MAZ appeared to have manifested differently on different scales: (1) viewed at the shipment scale: the number of cattle shipped, size of shipments, number of shipments and distance of shipments decreased; (2) at the premises scale: there was little change in the network patterns of interaction among individual premises, nor clear changes in the number of premises actively sending and receiving cattle; (3) at the network scale: interactions among all premises became more disconnected; This study illustrated a dynamic network of cattle movement that was unlikely to be a major risk factor in future bTB spread in the bTB zones in Michigan, USA, while highlighting the effects of bTB eradication regulations on cattle trade within the bTB affected area were manifested on different scales of the network."," Any edges with origin or destination premises in Antrim, Charlevoix, Cheboygan, Crawford, Emmet, and Otsego counties were not observed in 2010, owing to the reduction of the MAZ and subsequent changes in movement reporting requirements when these counties became part of the MAAZs (these might be missing tho, because they might have happened in 2010); Unfortunately, there is no detailed data on premises-level cattle transports elsewhere in the U.S. or in northeastern Michigan prior to TB detection to compare these local-scale cattle movements, although median distances of dairy cattle transports within Ontario were similar to the average distances recorded within the MAZ in 2004","While the scope of this analysis is live-animal movement, the potential of fomite spread via transport of equipment or animal feed among premises is not well understood; we suggest caution in applying the results of animal movement studies derived from post-infection data without data from before disease was discovered and without any non-disease movement areas as comparison for the effect of movement regulations for preventive applications and encourage prospective collection of animal movement data.",
Cai 2020,Industrial Management & Data Systems,Decoding the complexity of large-scale pork supply chain networks in China,2020,10.1108/IMDS-12-2019-0689,"There are very few empirical investigations in China with most focussed on theoretical research from economic or managerial aspects due to the absence of data on comprehensive food traceability systems. Empirical evidence informing the PSCN in the Chinese context is scarce and there is a large research gap in this field despite food safety becoming one of China’s largest social concerns and attracting global attention. A better understanding of the PSCN in China is required to inform the implementation of food safety improvement and disease control. Based on the above considerations, this paper analysed the topology of a large-scale national PSCN in China and the spread of ASF outbreak in 2018.",CHN,Y,"first batch of pilot cities in tracing system, mostly in eastern China, which is an important pig production region (Dalian, Qingdao, Nanjing, Wuxi, Suzhou, Shanghai, Ningbo, Hangzhou, Chongqing, Chengdu and Kunming)",swine,National Important Products Traceability System,1 Jan 2015,31 Dec 2015,Y,-,Y,lack of a professional classification of pig farms; utilized first batch of 10 pilot cities,N,N,N,Y,-,N,spatio-temporal patterns of 2018 ASF outbreak via city network; maximum infection chain and maximum spread capacity measures in network,participants; cities,"1198 farms in annual network (576 on average in monthly networks), 136 slaughterhouses in annual network (124 on average in monthly networks), 16248 retailers in annual network (9117 on average in monthly networks); 254 nodes in city network",animal movements; number of movements; number of animals?,4322 F to S links in annual network (1356 on average in monthly networks) and 45232 S to R links in annual network (13425 on average in monthly networks); 712 edges in city network,Y,"""sum of pork trade volume""",-,13 plus a city network,Y,Y,annual and monthly networks with daily transaction data,-,"Based on the trade data in the NIPTS, we thus used a three-layer model to describe how products move from productions to consumptions in the PSCN. Representing the network as a directed graph, G 5 (V, E), in which V denotes the nodes and E denotes the set of edges. N 5 jVj is the number of nodes in G and M 5 jEj represents the number of edges. In addition, we used the daily transactions to construct temporal networks, in which nodes and edges are added or removed by day. We propose the MSC as a new metric to quantify the maximum spreading range of a farm and to estimate the potential maximum epidemic size of an outbreak, we also use maximum infection chain to evaluate the risk of a retailer of being infected. To quantify the transmission of ASF amongst Chinese cities during the 2018 epidemic, we constructed a directed city network as shown in Figure 6, using the geographical location information of each firm in the PSCN. We used the effective distance proposed in the study by Brockmann and Helbing (2013) to describe these national dynamics of ASF.",maximum spread capacity; average degree; density; degree assortativity; centralization; heterogeneity; WCC; SCC; in-degree; out-degree; betweenness; maximum infection chain,N,-,"The pork trading was significantly active between April and July and inactive during Chinese New Year. In addition, the pork supply market was clearly affected by summer vacation and festivals; the PSCN in China shows distinct properties, e.g. large network size, simple classifications of pig producers, etc. The proposed measures of MSC and MIC integrate the spreading risk and supply chain structure and can be used to inform the implementation of risk-based control programmes for diseases and contaminations on PSCNs; the MSC provides the best estimates of the potential maximum epidemic size of an outbreak in the PSCN of China, in comparison with the out-degree and components measurements; By analysing the network structure and the dynamic of the ASF outbreak, a strong positive correlation is found between the onset of ASF in each city and the effective distance from this city to the origin city with the very first confirmed ASF case.","data limited to only first 10 pilot cities in database, but NIPTS has since expanded to 58 pilot cities","for an outbreak of other diseases or contaminations, control measures can be adopted in the firms connected to the origin of the outbreak with short effective distances; policymakers should strengthen quarantine measures on firms with high MSC in areas with short effective distances to the original outbreak place, in order to reduce the final epidemic size of an outbreak; food safety compliance and food safety control should be seriously improved and strengthened in processing sites such as slaughterhouses; retailers should  assess the risk of infection by calculating MIC and then take appropriate precautions to minimize the effects of an outbreak; effective distance can assess the risk of infection and to support the designing of effective quarantine measures when outrbeak source is known",
Candeloro 2016,PloS one,A New Weighted Degree Centrality Measure: The Application in an Animal Disease Epidemic,2016,10.1371/journal.pone.0165781,Different degree centrality measures have been proposed for this kind ofnetworks. In this work we propose weighted degree and strength centrality measures (WDC and WSC); The proposed measures and their application inan animal network could be used tosupport surveillance and infection control strategy plans. ,ITA,N,-,cattle,Italian National Bovine Database (NBD),2009,2009,Y,full year,N,-,N,N,N,N,-,Y,simulated not-specific,italian regions,21,number of animals,369,Y,number of animals,movement to slaughterplants; movements to other countries,3,Y,N,-,-,"A disease spread has been simulated through the animal movement network, testing how WDC (both in terms of in-degree and out-degree) led to a better estimate of nodes’ vulnerability and infecting capacity (risk) than DC values; adisease spread has been simulated through the animal movement network, testing how WDC (both interms ofin-degree and out-degree) led to a better estimate of nodes’ vulnerability and infecting capacity (risk) than DC values; three different situations with the same DC and SC are illustrated: three focal nodes (X, Y,Z) may be connected to the same number of nodes (DC =5) with the same nodes’ strength (SC =100), but the strength of each node can be distributed differently among linked nodes: uniformily or privileging only a fewer number of nodes; The new WDC is calculated by using a reducing factor (R) that doesnt change DC values when weights are uniformily distributed across nodes but, in case its not uniform,  reduces the original DC value accordingly to the shift from the uniform condition.",in-degree; out-degree; in-strength; out-strength; weigthed degree centrality; weighted strength centrality,N,-,WDC and WSC were shown to be more efficient inpredicting node’s risk and vulnerability. The differences between the weighted and classical measures are even more pronounced forhigher DC values.,this was only based an annual network of 2009 and only considered italian regions as a group. Would it be different as individual holdings? The authors did not mention any limitations.,"WDC could beused forthe detection ofhigh-risk holdings, both forcontracting and spreading aninfection within the network, and their removal, e.g. bytrade restrictions orselective vaccination orculling, can efficiently change the network structure decomposing itinto fragments sothat infection chain isinterrupted. Acentrality measure that takes into account the heterogeneity ofthe connections within a real network ofanimal movements, allows then amore precise and accurate identification of the crucial nodes forthe spread ofanepidemic disease.",
Cardenas 2021,Preventive Veterinary Medicine,Spatio-temporal network analysis of pig trade to inform the design of risk-based disease surveillance,2021,10.1016/j.prevetmed.2021.105314,"characterize the dynamics of pig trade, describe both static and temporal movement networks, and provide useful information to target surveillance actions in municipalities and individual premises in the state of Santa Catarina,Brazil, according to their importance in the network",BRA,Y,State of Santa Catarina ,swine,"official veterinary service of the state (Institute of Agricultural Defense of the State of Mato Grosso, INDEA-MT)",2015,2017,Y,-,N,-,N,N,N,Y,-,Y,simulated not-specific,animal holding,11606,animal movements; number of movements;,320814,N,-,movements to slaughterplants,37,Y,Y,monthly networks,R,"We used static and temporal network approaches to describe pig trade in the state by quantifying network attributes using SNA parameters and community analysis. Two indexes were implemented, the first one is a normalized index based on SNA-farm level measures and other index-based SNA-farm level measures considering the swineherd population size from all premises, both indexes were summarized by a municipality to target and rank surveillance activities. Using temporal networks, the OCC (outgoing contact chain) model was built, which can be viewed as a simplified representation a SI (susceptible- infected) model structure if every between-premise movement results in transmission; a potential outbreak can be seeded at a given time t0 in each node in turn, and the resulting OCC can be considered the outbreak size.",size; number of edges; fragmentation; mean of the shortest paths length density; GSCC; GWCC; in-degree; out-degree; in-closeness; out-closeness; betweenness; diameter; loyalty (reciprocity); Jaccard Index,Y,PageRank; modularity,"observed degree distributions showed scale-free properties, with many premises trading animals with only a few direct partners and a small number of premises trading with many direct partners; The pyramidal structure of the production chain also may explain the low sizes of GSCCs, whereas GWCCs showed high levels of connectivity,compromising more than 95 % of the network","static networks may lead to an over-representation of the true connectivity of the network, and thus the use of a static representation for disease models may systematically overestimate the results of outbreak size, particularly for rapidly spreading diseases; We  could not rule out the possibility that an animal diseases outbreak could affect the dynamics of the network; neglected other potential transmission pathways such as movement of other susceptible or non-susceptible animal species, movement of owners, workers or veterinarians, transmission via vehicles, shared equipment or bioaerosols, etc","testing targeted control actions using temporal OCC (outgoing contact chain) analysis  provides useful information for field performance; prioritizing the removal of farms based on degree substantially reduced the potential for trans mission of an infectiouspathogen in the contact networkas compared to removing farms at random, these control actions must be carried out before than outbreak using these targeted premises as sentinels and breaking the disease transmission.",
Cardenas 2021,Microorganisms,Use of Network Analysis and Spread Models to Target Control Actions for Bovine Tuberculosis in a State from Brazil,2021,10.3390/microorganisms9020227,"aims: (i) to characterize cattle trade describing the static full, yearly, and monthly snapshots of the network contact trade, (ii) to identify clusters in the space and contact networks of premises from which animals with TLL originated, and (iii) to evaluate the potential of targeted control actions to decrease TB spread in the cattle population of RS using a stochastic metapopulation disease transmission model that simulated within-farm and between-farm disease spread.",BRA,Y,"State of Rio Grande do Sul, which represents the sixth largest bovine population in the country and the largest in th esouthern region",cattle,Database of mandatory reports provided by the official veterinary service of the state - Rio Grande do Sul Secretary of Livestock and Irrigation (SEAPI-RS),2016,2018,Y,-,N,-,N,N,N,N,purpose of movement,Y,Tuberculosis (TB) detected by TB-like lesions (TLL),animal holding,"static 237,436; yearly from 149,754-158,469",animal movements,"static 938,680; yearly from 307,943-316,455",N,-,movement to slaughterplants,40,Y,Y,static and temporal networks (annual and monthly),R,"This work explored the cattle trade in RS state and its possible association with the distribution of TB in herds using the presence of animals with TLL as an indicator. This was done through a description of the static network, density of animals, and movement patterns. Besides, monthly snapshots were generated to represent the temporal trends in the network over time to give an overview of the cattle trade in the RS state. We then explored the existence of a plausible association between the positive TLL premises and their network connections and geographical proximity. Finally, TB spread was simulated using a SORI model on the characterized network to explore the impact of network-based targeted surveillance and control in RS state in Brazil.",network size; diameter; density; degree; number of movements; pagerank; betweenness; clustering coefficient; GWCC; GSCC; out-going contact chain (OCC); mean of the shortest paths,Y,PageRank,"TLL cases were significantly clustered in space and in the contact network, suggesting the potential for both local (e.g., fence-to-fence) and movement-mediated TB transmission. According to the disease spread model, removing the top 7% connected farms based on degree and betweenness could reduce the total number of infected farms over three years by >50%.","5.7% of incomplete/incorrect data (missing IDs, same origin and destination premises located in RS, duplicates); we were not able to determine the number and the impact of illegal or unreported movements, so it was assumed that the spread of infection was only due to known movements, neglecting other potential pathways such as movements of other species susceptible to TB, movement of owners, workers, or veterinarians, direct contact between neighboring farms (fence-to-fence contact), and transmission via fomites;",the control of TB and other infectious diseases must be analyzed in conjunction with other epidemiological tools and approaches.,
Cardenas 2022,Veterinary Research,"Multiple species animal movements: network properties, disease dynamics and the impact of targeted control actions",2022,10.1186/s13567-022-01031-2,"implemented analysis that allows for the description of the possible risks of animal movements, and identify key farms in the contact network using a multispecies approach, delivering insights into the quantification of potential outbreak paths and providing useful data for the identification of key farms that can be used to break the direct contact transmission of animal diseases; the study aimed to: (i) characterize single-host and multi-host (bovine, swine and, small ruminants) contact networks across 4 years of movement data; (ii) examine the potential of disease spread from one specific host to a different host considering animal movements as a  transmission route; and (iii) measure the impact of network-based target interventions to identify key nodes that could affect the number of infected premises in each host using a stochastic multi-level susceptible-infected model.",BRA,Y,State of Rio Grande do Sul,cattle; buffalo; swine; sheep; goats,Rio Grande do Sul Secretary of Livestock and Irrigation (SEAPI-RS),Jan 2015,Dec 2018,Y,January 1st to December 31st,N,-,N,N,Y,Y,-,N,simulated not-specific,farms,"Bovine farms had the highest number of farms in the network followed by small ruminants and swine. For multi-host farms, the largest proportion was bovine and small ruminants with 10%, swine and bovine with 3.13%, all three host species with 0.37%, and swine and small ruminants with 0.04%",number of movements; number of animals,"1604418 movements and 90090619 animals; the total number of between-farm cattle and buffalo (bovine) movements were 1251615 batches and 20773516 animals, swine were 273223 batches and 62292763 animals, and small ruminants represented 96398 batches and 2731304 animals; Overall for the between-farm movements, bovine-to-bovine (41.5%) movements were the highest, however, 27.6% of small ruminant movements were between farms with bovine, followed by swine-bovine movements with 12.83%, swine-swine movements with 8.42%, small ruminant-tosmall ruminant movements 7.95% and small ruminantto-swine movements with 1.7%",N,-,"movements to slaughterhouses (but included for between-farm disease dynamics); Incomplete or inaccurate data including movements with missing farm identification, the same movement origin, and destination, or movements across state borders","65 total; 1 full plus 16 annual (1 all-species network plus a bovine, a small ruminants, and a swine network for 4 years) plus monthly snapshots of each; millions of simulations of disease dynamics",Y,Y,annual and monthly; daily simulations,R,"The between-farm total of animals moved (referred herein as “batch”) was represented as a directed bipartite graph, g , where each farm was represented as a “node” and the movements between farms were represented as “edges”.We used contact chain analysis to describe the temporal and sequential nodes accessible by the formation of edges over time. These chains were divided into two main types: the in-going contact chains (ICC) and the out-going contact chains (OCC). We incorporated within farm and between  farm dynamics through a Susceptible-Infectious (SI) model using the temporal animal movement data explicitly with a higher effective contact rate to ensure an efficient disease transmission over the simulations. We implemented a discrete dynamic stochastic model that accounts for: (i) the local dynamics that represent each animal population (bovine, swine, and small ruminants); and (ii) the global dynamics that represent the interaction within farms and slaughterhouses; using a time resolution of 1 day. The initial simulation procedure was seeded in 1000 farms for  each simulation. This was repeated so that each single-host farm or multi-host farm was the initial seeded farm for a total of 100 simulations. For the between-farm dynamics, susceptible farms, Si, can be infected by their contacts via daily animal movements. Within these dynamics, animal movements to a slaughterhouse destination were considered to be subtracting these animals from the system. Each draw of animals from S and I compartments were at random, while the total number of available animals were based on the official data provided by for each premises. We additionally considered the effect of sequential removal of farms from the network, based on their ranked order. Furthermore, a sample of nodes was generated to be removed to simulate the non-targeted implementation of control actions from 2017 to 2018. The targeted farms were removed before model simulation was started to fragment the contact network, and the number of infected farms was then calculated at the end of each full simulation,.Since one of our objectives was to quantify the potential of a given infected host infecting another susceptible host(s) via animal transport, we developed scenarios A to C where the infection was seeded at bovine, small ruminants, and swine single host farms, respectively. Transportation of infected animals across multi-host farms was the only mode of disease propagation into other host species sites. In scenario D, infections were seeded in multi-host farms with at least two species (e.g. bovine and swine), and in scenario E, farms were randomly selected from the full network and seeded. Each simulation started with 1000 infected farms drawn randomly from the farm list as the initially-seeded infections according to the model scenario and repeated 1000 times. For the network-based targeted percolation analysis, we created three scenarios: (i) infection starting at bovine farms; (ii) infection starting at swine farms, and (iii) infection starting at small ruminant farms, resulting in over a million unique simulations.",degree; betweenness; diameter; mean of degree; PageRank; global cluster coefficient; centralization; GSCC; GWCC; in-degree; out-degree; percolation of nodes,N,-,"Our modeling results showed that regardless of which species was first infected at the beginning of the simulations, secondary infections were detected in all farm types; Based on our descriptive analysis, we found higher connectivity in the static bovine network, while in the monthly snapshot network representations and the contact chains analysis we found higher connectivity in the swine network; In the Susceptible-Infected stochastic multihost model, where we seeded infection individually to each host species, results demonstrated that transmission to other host-species was not dependent on the initially seeded species; Within the full network, bovine farms acted as hubs that influenced the network dynamics by creating the presence of possible super spreader nodes such as event farms with a high out-degree; the analysis of the small ruminant networks showed a very disconnected network with a marked seasonality at the end of each year but with fewer monthly edges and nodes; Our results reinforce the relevance of including data, when available, of all susceptible host species while developing regional disease preparedness activities into disease surveillance systems and agree with previous literature which reported better performance of temporal network measures in identifying farms that could be targeted to reduce the secondary number of infections","we included the heterogeneity present in disease transmission for any specific disease; no fomite transmission pathways included; no consideration of animal-level dynamics; we are unable to quantify the effect of other between-farm movements such as veterinarians and employees, which may contribute to the transmission through indirect contact","We argue that it is sensible for disease control and surveillance programs that target pathogens capable of infecting multiple hosts, to consider both the usual movement restrictions during disease emergencies, but also surveillance activities such as serosurveillance at all susceptible species; the degree distribution results could help highlight superspreader farms in all host populations through the identification of farms with several commercial partners that make a major contribution to disease spread; uncovering the interconnection among multiple species is of great relevance because most disease control programs are centered in only a single species, often neglecting the potential of disease introduction from a different host species; we argue for the need to consider temporal models, such as our contact chain analysis, when developing network-based target approaches, because it considers the temporal order of the connections and avoids over-connectivity of the  static networks",
Chaters 2019,Philosophical transactions of the royal society b-biological sciences,Analysing livestock network data for infectious disease control: an argument for routine data collection in emerging economies,2019,10.1098/rstb.2018.0264,"provide an overview of the role of network analysis in epidemiology, paying particular attention to the challenges of exploiting extensive but fragmented data; to analyse livestock movements in northern Tanzania, where there is a high burden of livestock disease including zoonoses, no formal livestock traceability system implemented at a national level and limited resources for disease control",TZA,Y,"northern Tanzania (Arusha, Manyara, and Kilimanjaro), where there is there is a heavy reliance upon livestock for food, traction power, income, savings and social status.",cattle,Zonal Veterinary Centres in Tanzania,2009,2015,N,"2009, 2011, 2013, 2015",Y,movements to markets,N,N,N,N,species; mode of transport; price of movement tax; wards,Y,simulated fast-moving and slow-moving not-specific diseases,wards,98 origin wards to 239 destination wards (398 total),number of movements; number of animals,"1760 in cattle network (weighted 89229), 2222 in spatial network (weighted 2222), 3792 in multiplex network (weighted 91451)",Y,number of animals,movements outside the study area; movements within wards,"3 (cattle, spatial, and multiplex) with monthly simulated movements for four distinct years (144)",Y,Y,annual; monthly,R,"Cattle movements were aggregated temporally by month and spatially at the ward level, because origins and destinations often could not be located at a finer scale. The network was inferred by statistical modelling of the observed movements. First, to distinguish true from the artefactual absence of movements (months where an origin ward sent out no cattle), a zero-inflated negative binomial (ZINB) generalized linear model (GLM) was fitted to each origin ward, so that in subsequent modelling steps, movements would be imputed in place of false zeroes. Next, inter-ward livestock movement was modelled using a hurdle model. The combined models can therefore be viewed as a gravity model of the livestock movement network. The fitted model was used to simulate monthly movements among the 398 wards for 1 year, with the number of movements inflated twofold to account for using a 50% subsample of the data. The simulated data were used to create an observed yearaggregated, static, directed, weighted cattle movement network. The spread of a ‘fast’ (R0 ¼ 3) and ‘slow’ (R0 ¼ 1.5) pathogen was simulated on the multiplex to assess the effects of disease control interventions on the spread of pathogens with varying infectiousness. This was achieved by running a stochastic SIR compartmental model within each ward. Vaccine interventions were applied to all wards, or targeted at 20 (5%) of wards that were selected randomly, based on their total cattle population size or based on their network centrality measures.",in-degree; out-degree; betweenness; eigenvector centrality; diameter; geometric mean degree; GWCC; GSCC; transitivity; reciprocity,N,-,"we have shown that even highly fragmented information about movement patterns can be used to infer network structure; These simulations corroborate that simple network measures can be used to identify good targets for surveillance and disease control that would be appropriate for a range of diseases and reduce the impact of infectious disease at considerably reduced cost and effort; These results could be used to form simple and practical guidelines that could be exploited immediately if, for example, a movement ban was initiated and government needed guidance on where their limited re-enforcement resources should be targeted, although they should not be used for more specific predictions without further data and analysis.","collecting these data can be onerous and costly and requires well-evidenced justification; data generation was the result of substantial, time-consuming effort, and the resultant inferred network, while useful, has limitations; A key limitation when evaluating pathogen sequence data is that pathogen evolution needs to occur on a similar or faster timescale to the disease generation time in order to infer the direction of transmission; using movement permits, which are ephemeral and patchy due to poor archiving or non-compliance, can result in substantial non-random ‘missingness’ that is difficult to quantify; records not previously digitized and 63% yielded complete data; Due to a large number of non-randomly missing permits, it was not possible to use the movement data directly; We have not investigated in our dataset evidence of dynamic patterns such as changing network patterns over time because the patchy missingness in our data limits the complexity of the movement model.","highlights a need to identify the potentially multiple transmission routes beyond discrete livestock movements when collecting data to construct a livestock network that is representative of a transmission network; the substantial changes in network metrics that result when the spatial spread between wards is incorporated highlight the need to augment movement data with more extensive information about local patterns of contact; verification of assumptions with further data collection is an important next step; the addition of pathogen sequence data where these are available would provide valuable confirmation of the role of network structure; the adoption of routine, robust digitized data recording should be achievable",
Chintrakulchai 2017,Asian Pacific Journal of Tropical Disease,"Goat movement network analysis and its implications for caprine brucellosis propagation in Nonthaburi Province, Thailand.",2017,10.12980/apjtd.7.2017D7-85,"To estimate the risk of brucellosis diffusion through goat movement network across Nonthaburi Province, Thailand and use redults to guide plicy makers in dealing with brucellosis transmission",THA,Y,Nonthaburi Province,goats,"questionnaire-based survey; Bureau of Disease Control and Veterinary Services, Department of Livestock Development of Thailand",Jan 2016,Aug 2016,Y,questionnaire data may not be continuous,N,-,N,N,N,N,province,Y,simulated brucellosis,province,22,animal movements,21,Y,number of movements,-,1 with 1000 simulations of brucellosis quantitative risk modeling,Y,N,-,R; QGIS,"A static weighted directed network was constructed to illustrate how goats moved across Nonthaburi Province. A node referred to a province, and a directed tie represented a direction of movement. The network was weighted by the frequency that farmers moved goats along each tie. The network was subsequently mapped for better illustration with a geographical information system application QGIS version 2.18. A mathematical model based on the frequency of goat movements across Nonthaburi Province and the prevalence of brucellosis was built to evaluate the possibility of importation and exportation of caprine brucellosis between Nonthaburi and other provinces via goat movements.",wieghted in- and out-degree centralities,N,-,"This study may help relevant authorities prioritize the high-risk area and optimize control measures. Network analysis and quantitative risk modeling were compatible in quantifying the risk of disease spread as demonstrated in the case of caprine brucellosis; goat movements were mainly occurred among nearby provinces and the result of export risk analysis, suggested by our quantitative risk modeling, was in line with the weighted-in-degree centrality.","the goat identification system such as ear tag was not obligatory in Thailand so no ability to track back to the actual origins of the goats using unique identification number; animal movement data derived in the present study was solely based on interviews; most farmers interviewed had never recorded any data regarding their goat rearing activities, contributing to possible recall bias",tracking devices are recommended in further studies in order to follow the movements of the goats in this study and to provide detailed and insightful information on the actual routes used in the transportation or time spent on this activity; The identified provinces with high trade activities should be closely monitored especially in terms of animal movements to prioritize high rusk areas and optimize control measures; these methods could be applied to the study on other diseases or animal species in different geographical locations,
Churakov 2021,Preventive Veterinary Medicine,"Assessing potential routes of Streptococcus agalactiae transmission between dairy herds using national surveillance, animal movement data and molecular typing",2021,10.1016/j.prevetmed.2021.105501,use the unique combination of annual national surveillance data for S. agalactiae and detailed animal movement records as available in Denmark to determine whether spatial distribution and network measures differed between dominant strains of S. agalactiae. Such knowledge could be used to inform S. agalactiae control policies in Denmark and other countries.,DNK,N,-,dairy cattle,"Central Herd Register (Danish Veterinary and Food Administration,Glostrup, Denmark)",2009,2011,Y,-,N,-,N,N,N,N,-,Y,Streptococcus agalactiae (GBS) detected through molecular typing,animal holding,Not specified,animal movements,Not specified,N,-,movement to slaughterplants,4,Y,N,-,R,"considered two types of networks corresponding to cattle movements and shared veterinary services, respectively. The sharing of veterinary services was used as a proxy for other service provider contacts and do not necessarily imply the veterinary visits as the mode of transmission (considering an undirected network in this case). Two time periods were considered to build the networks : 2009-2010 and 2010-2011; Risk ratio and mean exposure analysis were used to assess the increase of probability of infection in herds due to incoming links from infected herds and understand whether there is significant association between pathogen transmission and network movements.",-,N,-,"Introduction of cattle from a positive herd was associated with increased risk of infection by S. agalactiae in the next year (risk ratio of 2.9 and 4.7 for 2009 –2010 and 2010–2011, respectively); mean exposure to infection was significantly higher for newly infected herds and significantly lower for persistently susceptible herds, as compared to random simulated networks with the same properties, which suggests strong association between the cattle movement network and new infections; Sharing of veterinary services, which may serve as proxy for local or regional contacts at a range of scales, was not significantly associated with increased risk of introduction of S. agalactiae or one of the three predominant strains on a farm.",-,findings support the reinstatement of restrictions on cattle movements from S. agalactiae positive herds; lterna tive sources of detailed contact data between dairy herds will be essential to further clarify transmission routes of bovine S. agalactiae.,
Ciccolini 2012,Epidemics,Disease transmission on fragmented contact networks: Livestock-associated Methicillin-resistant Staphylococcus aureus in the Danish pig-industry,2012,10.1016/j.epidem.2012.09.001,"firstly, to assess whether movement-induced transmission alone can account for the observed pattern of increase in prevalence, and to evaluate the effect of other transmission mechanisms. Secondly, to explore the relation between endemic prevalence and persistence in a real fragmented contact network. And thirdly, to compare our epidemic simulation results with the EFSA survey data, relating model-predicted risk of farms being affected by MRSA to easily measurable properties of the underlying contact network.",DNK,N,-,swine,Danish Central Husbandry Register (CHR) and Danish Veterinary and Food Admistration database,1 Jan 2007,31 Dec 2008,Y,-,N,-,N,N,N,N,-,Y,LA-MRSA (Livestock-associated Methicillin-resistant Staphylococcus aureus),animal holding,11540,number of movements; number of animals,136358,Y,number of movements,"movement to slaughterplants; to/from holdings not present in the farm-census data, about 2-3% of all records; movements of dead animals to rendering plants; movements from other countries (about 0.04%);",2 + daily network simulations,Y,Y,yearly networks and dynamic daily networks for modelling,Unix; Python,"First, SNA of two static networks for the years of 2007 and 2008. Then, they use a simple mathematical model that explores patterns of spread and persistence of livestock-associated Methicillinresistant Staphylococcus aureus (LA-MRSA) in the Danish pig-industry associated with this trade network.",in-degree; out-degree; distributions of sizes of node in- and out-components; GWCC; GSCC,N,-,"The observed network fragmentation arises from the pyramidal structure of the pig production chain, and is the reason behind the low endemic prevalence; ","movement to/from slaughter-houses were removed, however, there exists a very small number of movements of live pigs from a few slaughter-houses to other pig-farms that would increase persistance of disease; Despite similarities in degree distributions and strong connectivity, there are year-to-year variations in contact patterns (including more years would have been beneficial); ","a quantitative assessment of the impact of this industry-wide control strategy requires the use of more extensive movement data sets. More extensive movement data sets, as well as precise determinations of farm prevalence, ideally from longitudinal studies, will be needed for the development and parameterisation of more detailed mathematical models with lower uncertainty, and higher predictive power.",
