Title,Authors,Abstract,Published Year,Journal,Volume,Issue,Pages,DOI,Covidence #,Study
Network analysis of pig movements in Ecuador: Strengthening surveillance of classical swine fever,"Acosta, AJ; Cardenas, NC; Pisuna, LM; Galvis, JA; Vinueza, RL; Vasquez, KS; Grisi, JH; Amaku, M; Gonçalves, VS; Ferreira, F","The analysis of domestic pig movements has become useful to understand the disease spread patterns and epidemiology, which facilitates the development of more effective animal diseases control strategies. The aim of this work was to analyse the static and spatial characteristics of the pig network, to identify its trading communities and to study the contribution of the network to the transmission of classical swine fever. In this regard, we used the pig movement records from the National Veterinary Service of Ecuador (2017-2019), using social network analysis and spatial analysis to construct a network with registered premises as nodes and their movements as edges. Furthermore, we also created a network of parishes as its nodes by aggregating their premises movements as edges. The annual network metrics showed an average diameter of 20.33, a number of neighbours of 2.61, a shortest path length of 4.39 and a clustering coefficient of 0.38 (small-world structure). The most frequent movements were to or from markets (55%). Backyard producers made up 89% of the network premises, and the top 2% of parishes (highest degree) contributed to 50% of the movements. The highest frequencies of movements between parishes were in the centre of the country, while the highest frequency of movements to abattoirs was in the south-west. Finally, the pattern of classical swine fever (CSF) disease outbreaks within the Ecuador network was likely the result of network transmission processes. In conclusion, our results represented the first exploratory analysis of domestic pig movements at premise and parish levels. The surveillance system could consider these results to improve its procedures and update the disease control and management policy, and allow the implementation of targeted or risk-based surveillance.",2022,TRANSBOUNDARY AND EMERGING DISEASES,69,5,E2898-E2912,10.1111/tbed.14640,#110,Acosta 2022
Exploring cattle movements in Belgium,"Ensoy, C; Faes, C; Welby, S; Van der Stede, Y; Aerts, M","Movement of animals from one farm to another is a potential risk and can lead to the spreading of livestock diseases. Therefore, in order to implement effective control measures, it is important to understand the movement network in a given area. Using the SANITEL data from 2005 to 2009, around 2 million cattle movements in Belgium were traced. Exploratory analysis revealed different spatial structures for the movement of different cattle types: fattening calves are mostly moved to the Antwerp region, adult cattle are moved to different parts in Belgium. Based on these differences, movement of cattle would more likely cause a spread of disease to a larger number of areas in Belgium as compared to the fattening calves.A closer inspection of the spatial and temporal patterns of cattle movement using a weighted negative binomial model, revealed a significant short-distance movement of bovine which could be an important factor contributing to the local spreading of a disease. The model however revealed hot spot areas of movement in Belgium; four areas in the Walloon region (Luxembourg, Hainaut, Namur and Liege) were found as hot spot areas while East and West Flanders are important ""receivers"" of movement. This implies that an introduction of a disease to these Walloon regions could result in a spread toward the East and West Flanders regions, as what happened in the case of Bluetongue BTV-8 outbreak in 2006. The temporal component in the model also revealed a linear trend and short- and long-term seasonality in the cattle movement with a peak around spring and autumn. The result of this explorative analysis enabled the identification of ""hot spots"" in time and space which is important in enhancing any existing monitoring and surveillance system. (C) 2014 Elsevier B.V. All rights reserved.",2014,PREVENTIVE VETERINARY MEDICINE,116,2-Jan,89-101,10.1016/j.prevetmed.2014.05.003,#112,Ensoy 2014
Analysis of dairy cattle movements in the northern region of Thailand,"Boonyayatra, S; Wang, YY; Singhla, T; Kongsila, A; VanderWaal, K; Wells, SJ","Dairy farming in northern Thailand is expanding, with dairy cattle populations increasing up to 8% per year. In addition, disease outbreaks frequently occur in this region, especially foot-and-mouth disease and bovine tuberculosis. Our goal was to quantify the underlying pattern of dairy cattle movements in the context of infectious disease surveillance and control as movements have been identified as risk factors for several infectious diseases. Movements at district levels within the northern region and between the northern and other regions from 2010 to 2017 were recorded by the Department of Livestock Development. Analyzed data included origin, destination, date and purpose of the movement, type of premise of origin and destination, and type and number of moved cattle. Social network analysis was performed to demonstrate patterns of dairy cattle movement within and between regions. The total numbers of movements and moved animals were 3,906 and 180,305, respectively. Decreasing trends in both the number of cattle moved and the number of movements were observed from 2010 to 2016, with increases in 2017. The majority (98%) of the animals moved were male dairy calves, followed by dairy cows (1.7%). The main purpose of the movements was for slaughter (96.3%). Most movements (67.4%) were shipments from central to northern regions, involving 87.1% of cattle moved. By contrast, 56% of the movements for growing and selling purposes occurred within the northern region, commonly involving dairy cows. Constructed movement networks showed heterogeneity of connections among districts. Of 110 districts, 28 were found to be influential to the movement networks, among which 11 districts showed high centrality measures in multiple networks stratified for movement purposes and regions, including eight districts in the northern and one district in each of the central, eastern, and lower northeastern regions of Thailand. These districts were more highly connected than others in the movement network, which may be important for disease transmission, surveillance, and control.",2022,FRONTIERS IN VETERINARY SCIENCE,9,,,10.3389/fvets.2022.961696,#113,Boonyayatra 2022
Illustration of Different Disease Transmission Routes in a Pig Trade Network by Monopartite and Bipartite Representation,"Büttner, K; Krieter, J","Simple Summary Besides direct animal movements between farms; indirect transmission routes of pathogens can have an immense impact on network structure and disease spread in animal trade networks. This study integrated these indirect transmission routes between farms via transport companies or feed supply as bipartite networks; which were compared to the monopartite animal movements network representing the direct transmission route. Both bipartite networks were projected on farm level to enable a comparison to the monopartite network. The number of edges increased immensely from the monopartite animal movements network to both projected networks. Thus, farms can be highly connected over indirect connections, although they are not directly trading animals. The ranking of the animals according to their centrality parameters, indicating their importance for the network, showed moderate correlations only between the animal movements and the transportation network. The epidemiological models based on the different network representations revealed significantly more infected farms for the networks including indirect transmission routes compared to the direct animal movements. Indirect transmission routes had an immense impact on the outcome of centrality parameters, as well as on the spreading process within the network. This knowledge is needed to understand disease spread and to establish reliable prevention and control measurements. Besides the direct transport of animals, also indirect transmission routes, e.g., contact via contaminated vehicles, have to be considered. In this study, the transmission routes of a German pig trade network were illustrated as a monopartite animal movements network and two bipartite networks including information of the transport company and the feed producer which were projected on farm level (n= 866) to enable a comparison. The networks were investigated with the help of network analysis and formed the basis for epidemiological models to evaluate the impact of different transmission routes on network structure as well as on potential epidemic sizes. The number of edges increased immensely from the monopartite animal movements network to both projected networks. The median centrality parameters revealed clear differences between the three representations. Furthermore, moderate correlation coefficients ranging from 0.55 to 0.68 between the centrality values of the animal movements network and the projected transportation network were obtained. The epidemiological models revealed significantly more infected farms for both projected networks (70% to 100%) compared to the animal movements network (1%). The inclusion of indirect transmission routes had an immense impact on the outcome of centrality parameters as well as on the results of the epidemiological models.",2020,ANIMALS,10,6,,10.3390/ani10061071,#114,Büttner 2020
Analysis of cattle movement networks in Paraguay: Implications for the spread and control of infectious diseases,"Avalos, A; Durand, B; Naranjo, J; Maldonado, V; Canini, L; Zanella, G","Beef exports represent a substantial part of Paraguay's agricultural sector. Cattle movements involve a high risk due to the possible spread of bovine diseases that can have a significant impact on the country's economy. We analyzed cattle movements from 2014 to 2018 using the networks analysis methodology at the holding and district levels at different temporal scales. We built two types of networks to identify network characteristics that may contribute to the spread of two diseases with different epidemiological characteristics: i) a network including all cattle movements to consider the transmission of a disease of rapid spread like foot and mouth disease, and ii) a network including only cow movements to account for bovine brucellosis, a disease of slow spread that occurs mainly in adult females. Network indicators did not vary substantially among the cattle and cow only networks. The holdings/districts included in the largest strongly connected components were distributed throughout the country. Percolation analysis performed at the holding level showed that a large number of holdings should be removed to make the largest strongly connected component disappear. Higher values of the centrality indicators were found for markets than for farms, indicating that they may play an important role in the spread of an infectious disease. At the holding level (but not at the district level), the networks exhibited characteristics of small-world networks. This property may facilitate the spread of foot and mouth disease in case of re-emergence, or of bovine brucellosis in the country through cattle movements. They should be taken into account when implementing surveillance or control measures for these diseases.",2022,PLOS ONE,17,12,,10.1371/journal.pone.0278999,#115,Avalos 2022
Comparison of weighted and unweighted network analysis in the case of a pig trade network in Northern Germany,"Büttner, K; Krieter, J","The analysis of trade networks as well as the spread of diseases within these systems focuses mainly on pure animal movements between farms. However, additional data included as edge weights can complement the informational content of the network analysis. However, the inclusion of edge weights can also alter the outcome of the network analysis. Thus, the aim of the study was to compare unweighted and weighted network analyses of a pork supply chain in Northern Germany and to evaluate the impact on the centrality parameters. Five different weighted network versions were constructed by adding the following edge weights: number of trade contacts, number of delivered livestock, average number of delivered livestock per trade contact, geographical distance and reciprocal geographical distance. Additionally, two different edge weight standardizations were used. The network observed from 2013 to 2014 contained 678 farms which were connected by 1,018 edges. General network characteristics including shortest path structure (e.g. identical shortest paths, shortest path lengths) as well as centrality parameters for each network version were calculated. Furthermore, the targeted and the random removal of farms were performed in order to evaluate the structural changes in the networks. All network versions and edge weight standardizations revealed the same number of shortest paths (1,935). Between 94.4 to 98.9% of the unweighted network and the weighted network versions were identical. Furthermore, depending on the calculated centrality parameters and the edge weight standardization used, it could be shown that the weighted network versions differed from the unweighted network (e.g. for the centrality parameters based on ingoing trade contacts) or did not differ (e.g. for the centrality parameters based on the outgoing trade contacts) with regard to the Spearman Rank Correlation and the targeted removal of farms. The choice of standardization method as well as the inclusion or exclusion of specific farm types (e.g. abattoirs) can alter the results significantly. These facts have to be considered when centrality parameters are to be used for the implementation of prevention and control strategies in the case of an epidemic.",2018,PREVENTIVE VETERINARY MEDICINE,156,,49-57,10.1016/j.prevetmed.2018.05.008,#116,Büttner 2018
When resolution does matter: Modelling indirect contacts in dairy farms at different levels of detail,"Bernini, A; Bolzoni, L; Casagrandi, R","Animal exchanges are considered the major pathway for between-farm transmission of many livestock infectious diseases. Yet, vehicles and operators visiting several farms during routine activities can also contribute to disease spread. Indeed, if contaminated, they can act as mechanical vectors of fomites, generating indirect contacts between visited farms. While data on animal exchanges is often available in national databases, information about the daily itineraries of trucks and operators is rare because difficult to obtain. Thus, some unavoidable approximations have been frequently introduced in the description of indirect contacts in epidemic models. Here, we showed that the level of detail in such description can significantly affect the predictions on disease dynamics. Our analyses focused on the potential spread of a disease in a dairy farm system subject of a comprehensive data collection campaign on calf transportations. We developed two temporal multilayer networks to model between-farm contacts generated by either animal exchanges (direct contacts) and connections operated by trucks moving calves (indirect contacts). The complete model used the full knowledge of the daily trucks' itineraries, while the partial informed one used only a subset of such available information. To account for various conditions of pathogen survival ability and effectiveness of cleaning operations, we performed a sensitivity analysis on trucks' contamination period. An accurate description of indirect contacts was crucial both to correctly predict the final size of epidemics and to identify the seed farms responsible for generating the most severe outbreaks. The importance of detailed information emerged even more clearly in the case of short contamination periods. Our conclusions could be extended to between-farm contacts generated by other vehicles and operators. Overcoming these information gaps would be decisive for a deeper understanding of epidemic spread in livestock and to develop effective control plans.",2019,PLOS ONE,14,10,,10.1371/journal.pone.0223652,#118,Bernini 2019
Analysis of Risk Factors for African Swine Fever in Lombardy to Identify Pig Holdings and Areas Most at Risk of Introduction in Order to Plan Preventive Measures,"Bellini, S; Scaburri, A; Tironi, M; Calò, S","In 2019, the area of the European Union (EU) affected by African swine fever (ASF) expanded progressively in a southwestern direction from Baltic and eastern countries. The disease can severely affect and disrupt regional and international trade of pigs and pork products with serious socioeconomic damages to the pig industry. Lombardy is one of the most important European pig producers and the introduction of ASF into the pig population could adversely affect the entire sector. A study was carried out to identify the farms and territories in the region most at risk of ASF introduction to plan preventive measures. The pig holdings were identified through a descriptive analysis of pig movements and Social Network Analysis (SNA), while, for the identification of the most exposed municipalities, an assessment of risk factors was carried out using the ranking of summed scores attributed to the Z-score. From the analysis, it was found that 109 municipalities and 297 pig holdings of the region were potentially more at risk, and these holdings were selected for target surveillance. This information was provided to veterinary authority to target surveillance in pig farms, in order to early detect a possible incursion of ASF and prevent its spread.",2020,PATHOGENS,9,12,,10.3390/pathogens9121077,#119,Bellini 2020
Emerging infectious diseases may spread across pig trade networks in Thailand once introduced: a network analysis approach,"Wiratsudakul, A; Wongnak, P; Thanapongtharm, W","In Thailand, pork is one of the most consumed meats nationwide. Pig farming is hence an important business in the country. However, 95% of the farms were considered smallholders raising only 50 pigs or less. With limited budgets and resources, the biosecurity level in these farms is relatively low. Pig movements have been previously identified as a risk factor in the spread of infectious diseases. Therefore, the present study aimed to explicitly analyze the pig movement network structure and assess its vulnerability to the spread of emerging diseases in Thailand. We used official electronic records of nationwide pig movements throughout the year 2021 to construct a directed weighted one-mode network. Degree centrality, degree distribution, connected components, network community, and modularity were measured to explore the network architectures and properties. In this network, 484,483 pig movements were captured. In which, 379,948 (78.42%) were moved toward slaughterhouses and hence excluded from further analyses. From the remaining links, we suggested that the pig movement network in Thailand was vulnerable to the spread of emerging infectious diseases. Within the network, we found a strongly connected component (SCC) connecting 1044 subdistricts (38.6% of the nodes), a giant weakly connected component (GWCC) covering 98.2% of the nodes (2654/2704), and inter-regional communities with overall network modularity of 0.68. The disease may rapidly spread throughout the country. A better understanding of the nationwide pig movement networks is helpful in tailoring control interventions to cope with the newly emerged diseases once introduced.",2022,TROPICAL ANIMAL HEALTH AND PRODUCTION,54,4,,10.1007/s11250-022-03205-8,#120,Wiratsudakul 2022
Combining network analysis with epidemiological data to inform risk-based surveillance: Application to hepatitis E virus (HEV) in pigs,"Salines, M; Andraud, M; Rose, N","Animal movements between farms are a major route of pathogen spread in the pig production sector. This study aimed to pair network analysis and epidemiological data in order to evaluate the impact of animal movements on pathogen prevalence in farms and assess the risk of local areas being exposed to diseases due to incoming movements. Our methodology was applied to hepatitis E virus (HEV), an emerging foodbome zoonotic agent of concern that is highly prevalent in pig farms. Firstly, the pig movement network in France (data recorded in 2013) and the results of a nation-wide seroprevalence study (data collected in 178 farms in 2009) were modelled and analysed. The link between network centrality measures of farms and HEV seroprevalence levels was explored using a generalised linear model. The in-degree and ingoing closeness of farms were found to be statistically associated with high HEV within-farm seroprevalence (p < 0.05). Secondly, the risk of a French departement (i.e. French local administrative areas) being exposed to HEV was calculated by combining the distribution of farm-level HEV prevalence in source depertements with the number of movements coming from those same departements. By doing so, the risk of exposure for departements was mapped, highlighting differences between geographical patterns of HEV prevalence and the risk of exposure to HEV. These results suggest that not only highly prevalent areas but also those having at-risk movements from infected areas should be monitored. Pathogen management and surveillance options in the pig production sector should therefore take animal movements into consideration, paving the way for the development of targeted and risk-based disease surveillance strategies.",2018,PREVENTIVE VETERINARY MEDICINE,149,,125-131,10.1016/j.prevetmed.2017.11.015,#121,Salines 2018
Understanding the poultry trade network in Kenya: Implications for regional disease prevention and control,"McCarron, M; Munyua, P; Cheng, PY; Manga, T; Wanjohi, C; Moen, A; Mounts, A; Katz, MA","Infectious diseases in poultry can spread quickly and lead to huge economic losses. In the past decade, on multiple continents, the accelerated spread of highly pathogenic avian Influenza A (H5N1) virus, often through informal trade networks, has led to the death and culling of hundreds of millions of poultry. Endemic poultry diseases like Newcastle disease and fowl typhoid can also be devastating in many parts of the world. Understanding trade networks in unregulated systems can inform policy decisions concerning disease prevention and containment.From June to December 2008 we conducted a cross-sectional survey of backyard farmers, market traders, and middlemen in 5/8 provinces in Kenya. We administered a standardized questionnaire to each type of actor using convenience, random, snowball, and systematic sampling. Questionnaires addressed frequency, volume, and geography of trade, as well as biosecurity practices. We created a network diagram identifying the most important locations for trade.Of 380 respondents, 51% were backyard farmers, 24% were middlemen and 25% were market traders. Half (50%) of backyard farmers said they raised poultry both for household consumption and for sale. Compared to market traders, middlemen bought their poultry from a greater number of villages (median 4.2 villages for middlemen vs. 1.9 for market traders). Traders were most likely to purchase poultry from backyard farmers. Of the backyard farmers who sold poultry, 51% [Cl 40-63] reported selling poultry to market traders, and 54% [CI 44-63] sold to middlemen. Middlemen moved the largest volume of poultry on a weekly basis (median purchases: 187 birds/week [IQR 2061; median sales: 188 birds/week [IQR 412.5]). The highest numbers of birds were traded in Nairobi Kenya's capital city. Nairobi was the most prominent trading node in the network (61 degrees of centrality). Many smaller sub-networks existed as a result of clustered local trade. Market traders were also integral to the network.The informal poultry trade in Kenya is dependent on the sale of backyard poultry to middlemen and market traders. These two actors play a critical role in poultry movement in Kenya; during any type of disease outbreak middlemen should be targeted for control- and containment-related interventions. Published by Elsevier B.V.",2015,PREVENTIVE VETERINARY MEDICINE,120,4-Mar,321-327,10.1016/j.prevetmed.2015.03.021,#124,McCarron 2015
Prediction of the spread of African swine fever through pig and carcass movements in Thailand using a network analysis and diffusion model,"Poolkhet, C; Kasemsuwan, S; Thongratsakul, S; Warrasuth, N; Pamaranon, N; Nuanualsuwan, S","Background: African swine fever (ASF) is a serious contagious viral disease of pigs that affects the pig industry. This study aimed to evaluate the possible African swine fever (ASF) distribution using network analysis and a diffusion model through live pig, carcass, and pig product movement data. Material and Methods: Empirical movement data from Thailand for the year 2019 were used, and expert opinions were sought to evaluate network properties and the diffusion model. The networks were presented as live pig movement and carcass movement data at the provincial and district levels. For network analysis, a descriptive network analysis was performed using outdegree, indegree, betweenness, fragmentation, and power law distribution, and cutpoints were used to describe movement patterns. For the diffusion model, we simulated each network using spatially different infected locations, patterns, and initial infection sites. Based on expert opinions, the initial infection site, the probability of ASF occurrence, and the probability of the initial infected adopter were selected for the appropriated network. In this study, we also simulated networks under varying network parameters to predict the infection speed. Results and Conclusions: The total number of movements recorded was 2,594,364. These were divided into 403,408 (403,408/2,594,364; 15.55%) for live pigs and 2,190,956 (2,190,956/2,594,364; 84.45%) for carcasses. We found that carcass movement at the provincial level showed the highest outdegree (mean = 342.554, standard deviation (SD) = 900.528) and indegree values (mean = 342.554, SD = 665.509). In addition, the outdegree and indegree presented similar mean values and the degree distributions of both district networks followed a power-law function. The network of live pigs at provincial level showed the highest value for betweenness (mean = 0.011, SD = 0.017), and the network of live pigs at provincial level showed the highest value for fragmentation (mean = 0.027, SD = 0.005). Our simulation data indicated that the disease occurred randomly due to live pig and carcass movements along the central and western regions of Thailand, causing the rapid spread of ASF. Without control measures, it could spread to all provinces within 5-and 3-time units and in all districts within 21-and 30-time units for the network of live pigs and carcasses, respectively. This study assists the authorities to plan control and preventive measures and limit economic losses caused by ASF.",2023,PEERJ,11,,,10.7717/peerj.15359,#125,Poolkhet 2023
"Network analysis of swine shipments in Ontario, Canada, to support disease spread modelling and risk-based disease management","Dorjee, S; Revie, CW; Poljak, Z; McNab, WB; Sanchez, J","Understanding contact networks are important for modelling and managing the spread and control of communicable diseases in populations. This study characterizes the swine shipment network of a multi-site production system in southwestern Ontario, Canada. Data were extracted from a company's database listing swine shipments among 251 swine farms, including 20 sow, 69 nursery and 162 finishing farms, for the 2-year period of 2006 to 2007. Several network metrics were generated. The number of shipments per week between pairs of farms ranged from 1 to 6. The medians (and ranges) of out-degree were: sow 6 (1-21), nursery 8(0-25), and finishing 0(0-4), over the entire 2-year study period. Corresponding estimates for in-degree of nursery and finishing farms were 3 (0-9) and 3 (0-12) respectively. Outgoing and incoming infection chains (OIC and IIC), were also measured. The medians (ranges) of the monthly OIC and IIC were 0 (0-8) and 0 (0-6), respectively, with very similar measures observed for 2-week intervals. Nursery farms exhibited high measures of centrality. This indicates that they pose greater risks of disease spread in the network. Therefore, they should be given a high priority for disease prevention and control measures affecting all age groups alike. The network demonstrated scale-free and small-world topologies as observed in other livestock shipment studies. This heterogeneity in contacts among farm types and network topologies should be incorporated in simulation models to improve their validity. In conclusion, this study provided useful epidemiological information and parameters for the control and modelling of disease spread among swine farms, for the first time from Ontario, Canada. (C) 2013 Elsevier B.V. All rights reserved.",2013,PREVENTIVE VETERINARY MEDICINE,112,2-Jan,118-127,10.1016/j.prevetmed.2013.06.008,#126,Dorjee 2013
Relationship of trade patterns of the Danish swine industry animal movements network to potential disease spread,"Bigras-Poulin, M; Barfod, K; Mortensen, S; Greiner, M","The movements of animals were analysed under the conceptual framework of graph theory in mathematics. The swine production related premises of Denmark were considered to constitute the nodes of a network and the links were the animal movements. In this framework, each farm will have a network of other premises to which it will be linked. A premise was a farm (breeding, rearing or slaughter pig), an abattoir or a trade market. The overall network was divided in premise specific subnets that linked the other premises from and to which animals were moved. This approach allowed us to visualise and analyse the three levels of organization related to animal movements that existed in the Danish swine production registers: the movement of animals between two premises, the premise specific networks, and the industry network. The analyses of animal movements were done using these three levels of organisation.The movements of swine were studied for the period September 30, 2002 to May 22, 2003. For daily movements of swine between two slaughter pig premises, the median number of pigs moved was 130 pigs with a maximum of 3306. For movements between a slaughter pig premise and an abattoir, the median number of pigs was 24. The largest percentage of movements was from farm to abattoir (82.5%); the median number of pigs per movement was 24 and the maximum number was 2018. For the whole period the median and maximum Euclidean distances observed in farm-to-farm movements were 22 km and 289 km respectively, while in the farm-to-abattoir movements, they were 36.2 km and 285 km. The network related to one specific premise showed that the median number of premises was mainly away from slaughter pig farms (3) or breeder farms (26) and mainly to an abattoir (1535).The assumption that animal movements can be randomly generated on the basis of farm density of the surrounding area of any farm is not correct since the patterns of animal movements have the topology of a scale-free network with a large degree of heterogeneity. This supported the opinion that the disease spread software assuming homogeneity in farm-to-farm relationship should only be used for large-scale interpretation and for epidemic preparedness. The network approach, based on graph theory, can be used efficiently to express more precisely, on a local scale (premise), the heterogeneity of animal movements. This approach, by providing network knowledge to the local veterinarian in charge of controlling disease spread, should also be evaluated as a potential tool to manage epidemics during the crisis. Geographic information systems could also be linked in the approach to produce knowledge about local transmission of disease. (C) 2007 Published by Elsevier B.V.",2007,PREVENTIVE VETERINARY MEDICINE,80,3-Feb,143-165,10.1016/j.prevetmed.2007.02.004,#128,Bigras-Poulin 2007
Structural vulnerability of the French swine industry trade network to the spread of infectious diseases,"Rautureau, S; Dufour, B; Durand, B","The networks generated by live animal movements are the principal vector for the propagation of infectious agents between farms, and their topology strongly affects how fast a disease may spread. The structural characteristics of networks may thus provide indicators of network vulnerability to the spread of infectious disease. This study applied social network analysis methods to describe the French swine trade network. Initial analysis involved calculating several parameters to characterize networks and then identifying high-risk subgroups of holdings for different time scales. Holding-specific centrality measurements ('degree', 'betweenness' and 'ingoing infection chain'), which summarize the place and the role of holdings in the network, were compared according to the production type. In addition, network components and communities, areas where connectedness is particularly high and could influence the speed and the extent of a disease, were identified and analysed. Dealer holdings stood out because of their high centrality values suggesting that these holdings may control the flow of animals in part of the network. Herds with growing units had higher values for degree and betweenness centrality, representing central positions for both spreading and receiving disease, whereas herds with finishing units had higher values for in-degree and ingoing infection chain centrality values and appeared more vulnerable with many contacts through live animal movements and thus at potentially higher risk for introduction of contagious diseases. This reflects the dynamics of the swine trade with downward movements along the production chain. But, the significant heterogeneity of farms with several production units did not reveal any particular type of production for targeting disease surveillance or control. Besides, no giant strong connected component was observed, the network being rather organized according to communities of small or medium size (<20% of network size). Because of this fragmentation, the swine trade network appeared less structurally vulnerable than ruminant trade networks. This fragmentation is explained by the hierarchical structure, which thus limits the structural vulnerability of the global trade network. However, inside communities, the hierarchical structure of the swine production system would favour the spread of an infectious agent (especially if introduced in breeding herds).",2012,ANIMAL,6,7,1152-1162,10.1017/S1751731111002631,#129,Rautureau 2012
Associations between attributes of live poultry trade and HPAI H5N1 outbreaks: a descriptive and network analysis study in northern Vietnam,"Magalhaes, RJS; Ortiz-Pelaez, A; Kim, LLT; Quoc, HD; Otte, J; Pfeiffer, DU","Background: The structure of contact between individuals plays an important role in the incursion and spread of contagious diseases in both human and animal populations. In the case of avian influenza, the movement of live birds is a well known risk factor for the geographic dissemination of the virus among poultry flocks. Live bird markets (LBM's) contribute to the epidemiology of avian influenza due to their demographic characteristics and the presence of HPAI H5N1 virus lineages. The relationship between poultry producers and live poultry traders (LPT's) that operate in LBM's has not been adequately documented in HPAI H5N1-affected SE Asian countries. The aims of this study were to document and study the flow of live poultry in a poultry trade network in northern Vietnam, and explore its potential role in the risk for HPAI H5N1 during 2003 to 2006.Results: Our results indicate that LPT's trading for less than a year and operating at retail markets are more likely to source poultry from flocks located in communes with a past history of HPAI H5N1 outbreaks during 2003 to 2006 than LPT's trading longer than a year and operating at wholesale markets. The results of the network analysis indicate that LPT's tend to link communes of similar infection status.Conclusions: Our study provides evidence which can be used for informing policies aimed at encouraging more biosecure practices of LPT's operating at authorised LBM's. The results suggest that LPT's play a role in HPAI H5N1 transmission and may contribute to perpetuating HPAI H5N1 virus circulation amongst certain groups of communes. The impact of current disease prevention and control interventions could be enhanced by disseminating information about outbreak risk and the implementation of a formal data recording scheme at LBM's for all incoming and outgoing LPT's.",2010,BMC VETERINARY RESEARCH,6,,,10.1186/1746-6148-6-10,#130,Magalhaes 2010
Using network analysis to identify seasonal patterns and key nodes for risk-based surveillance of pig diseases in Italy,"Crescio, MI; Mastrantonio, G; Bertolini, S; Maurella, C; Adkin, A; Ingravalle, F; Simons, RRL; DeNardi, M; Stark, K; Estrada-Peña, A; Ru, G","The description of the pattern of livestock movements between herds provides essential information for both improving risk-based surveillance and to understand the likely spread of infectious diseases. This study provides a description of the temporal pattern of pig movements recorded in Italy on a 4-year period (2013-2016). Data, provided by the National Livestock registry, were described by social network analysis and the application of a walk-trap algorithm for community detection. Our results show a highly populated community located in Northern Italy, which is the focal point of the Italian industrial pig production and as a general pattern an overall decline of medium and backyard farms and an increase in the number of large farms, in agreement with the trend observed by other EU pig-producing countries. A seasonal pattern of all the parameters evaluated, including the number of active nodes in both the intensive and smaller production systems, emerged: that is characterized by a higher number of movements in spring and autumn, linked with the breeding and production cycle as pigs moved from the growing to the finishing phase and with periods of increased slaughtering at Christmas and Easter. The same pattern was found when restricting the analysis to imported pig batches. Outbreaks occurring during these periods would have a greater impact on the spread of infectious diseases; therefore, targeted surveillance may be appropriate. Finally, potential super-spreader nodes have been identified and represent 0.47% of the total number of pig holdings (n = 477). Those nodes are present during the whole study period with a similar ranking in their potential of being super-spreaders. Most of them were in Northern Italy, but super-spreaders with high mean out-degree centrality were also located in other Regions. Seasonality, communities and super-spreaders should be considered when planning surveillance activity and when applying disease control strategies.",2021,TRANSBOUNDARY AND EMERGING DISEASES,68,6,3541-3551,10.1111/tbed.13960,#131,Crescio 2021
Automatic classification of farms and traders in the pig production chain,"Koeppel, L; Siems, T; Fischer, M; Lentz, HHK","The trade in live pigs is an essential risk factor in the spread of animal diseases. Traders play a key role in the trade network, as they are logistics hubs and responsible for large animal movements. In order to implement targeted control measures in case of a disease outbreak, it is hence strongly advisable to use information about the holding type in the pig production chain. However, in many datasets the types of the producing farms or the fact whether the agent is a trader are unknown.In this paper we introduce two indices that can be used to identify the position of a producing farm in the pig production chain and more importantly, identify traders. This was realized partially through a novel dynamic programming algorithm. Analyzing the pig trade network in Germany from 2005 to 2007, we demonstrate that our algorithm is very sensitive in detecting traders. Since the methodology can easily be applied to trade networks in other countries with similar infrastructure and legislation, we anticipate its use for augmenting the datasets in further network analyses and targeting control measures. For further usage, we have developed an R package which can be found in the supplementary material to this manuscript.",2018,PREVENTIVE VETERINARY MEDICINE,150,,86-92,10.1016/j.prevetmed.2017.12.003,#132,Koeppel 2018
Global formal live poultry and hatching egg trade network (2004-2016): description and association with poultry disease reporting and presence,"Awada, L; Chalvet-Monfray, K; Tizzani, P; Caceres, P; Ducrot, C","As international trade constitutes one of the main spread pathways of diseases, a better understanding of the trade behaviors of countries will help identify strengths and areas for improvement in the approach of national authorities to controlling poultry diseases globally. Using data reported to the United Nations Comtrade and the World Organisation for Animal Health (OIE) between 2004 and 2016 by 193 countries, we used a network analysis on trade data of poultry hatching eggs, live poultry of less than 185 g and live poultry of 185 g or more to determine that: 1) quantities traded between countries are substantial, and tend to increase (average increase of 800,000 poultry heads and 21,000 tons of hatching eggs each year equivalent to an increase by 2-fold in 17 yr); 2) the stability of the networks was low (a quarter to half of trade relationships maintained between 2 consecutive years) and the subnetworks favorable to the spread of diseases were in general consistent with regional clustering, trade exchanges being equally at intracontinental and intercontinental levels; 3) countries with highest number of partners were located in the same world regions for the 3 poultry networks -Americas and Europe for export (up to 107 partners) and Africa, Asia and Europe for import (up to 36 partners); 4) for live poultry, biggest exporting countries shared more poultry disease surveillance data, and reported more disease presence than others, which did not stop them from trading. Biggest importers reported less poultry disease surveillance data and reported more disease presence than others; and 5) the main structural and trend characteristics of the international trade networks were in general similar for the 3 networks. The information derived from this work underlines the importance of applying the preventive measures advocated by the OIE and will support countries to reduce the risk of introduction of pathogens causing poultry diseases.",2021,POULTRY SCIENCE,100,9,,10.1016/j.psj.2021.101322,#133,Awada 2021
